Pair,Exe1,Time1,Exe2,Time2
[./mvt,./trmm],./trmm,44.33,./mvt,0.72
[./nussinov,./symm],./symm,72.40,./nussinov,191.04
[./nussinov,./syr2k],./syr2k,219.13,./nussinov,200.36
[./nussinov,./syrk],./syrk,34.09,./nussinov,196.38
[./nussinov,./trisolv],./trisolv,0.21,./nussinov,192.11
[./nussinov,./trmm],./trmm,41.81,./nussinov,182.84
[./symm,./syr2k],./symm,75.02,./syr2k,273.24
[./symm,./syrk],./syrk,37.50,./symm,77.61
[./symm,./trisolv],./trisolv,0.23,./symm,74.37
[./symm,./trmm],./symm,72.26,./trmm,49.00
[./syr2k,./syrk],./syrk,37.51,./syr2k,240.44
[./syr2k,./trisolv],./trisolv,0.22,./syr2k,237.39
[./syr2k,./trmm],./trmm,43.68,./syr2k,247.99
[./syrk,./trisolv],./trisolv,0.22,./syrk,39.40
[./syrk,./trmm],./syrk,39.26,./trmm,43.03
[./trisolv,./trmm],./trmm,43.19,./trisolv,0.22
